codigo_fabricante,descricao_do_produto,marca,preco,estoque,localizacao,preco_promoc_varejo
100166147,ACABAMENTO PARALAMA DIANT ESQ UNO WAY,FIAT,"49,67","0,000",ACB-05,
3248,ACABAMENTO PARALAMA DIANT ESQ UNO WAY 04/ CINZA,DTS,"119,54","2,000",ACB-05,
3244,ACABAMENTO PARALAMA DIANT ESQ UNO WAY 04/ PRETO,DTS,"115,98","0,000",ACB-05,
0100185995,ACABAMENTO PARALAMA DIANTEIRO LD STRADA WORKING,FIAT,"256,34","1,000",ACB-06,
0100185998,ACABAMENTO PARALAMA DIANTEIRO LE STRADA WORKING,FIAT,"244,13","0,000",ACB-06,
735379287,ACABAMENTO PARALAMA DIR PALIO STRADA,FIAT,"76,23","0,000",X,
735305631,ACABAMENTO PARALAMA ESQ PALIO STRADA /03,FIAT,"63,53","0,000",,
8230,ACABAMENTO PARALAMA TRAS DIR CORSA SEDAN 96/12 PRETO LISO,BLAWE,"56,62","0,000",ACB-02,
172PTD,ACABAMENTO PARALAMA TRAS DIR CORSA SEDAN 96/12 PRETO LISO,DTS,"54,69","0,000",ACB-02,
J40538,ACABAMENTO PARALAMA TRAS DIR ECOSPORT 02/ PRETO,KARIN,"170,14","1,000",ACB-04,
0018079,ACABAMENTO PARALAMA TRAS DIR ECOSPORT 04/,DIVER,"138,60","0,000",ACB-04,
174PTD,ACABAMENTO PARALAMA TRAS DIR NOVO CORSA HATCH 02/12,DTS,"114,75","2,000",ACB-03,
100220193,ACABAMENTO PARALAMA TRAS DIR PALIO WAY 14/ PRETO,FIAT,"122,85","0,000",X,
3451,ACABAMENTO PARALAMA TRAS DIR STRADA 05/08 PRETO TEXT,DTS,"316,93","1,000",ACB-07,
100166144,ACABAMENTO PARALAMA TRAS DIR UNO WAY,FIAT,"49,67","0,000",ACB-05,
012056,ACABAMENTO PARALAMA TRAS DIR UNO WAY 04/ CINZA,NEWKA,"97,02","0,000",ACB-05,
8338,ACABAMENTO PARALAMA TRAS DIR UNO WAY 04/ CINZA,BLAWE,"101,46","0,000",ACB-05,
3249,ACABAMENTO PARALAMA TRAS DIR UNO WAY 04/ CINZA,DTS,"97,02","0,000",ACB-05,
3245,ACABAMENTO PARALAMA TRAS DIR UNO WAY 04/ PRETO,DTS,"119,39","1,000",ACB-05,
8229,ACABAMENTO PARALAMA TRAS ESQ CORSA SEDAN 96/12 PRETO LISO,BLAWE,"47,47","0,000",ACB-02,
172PTE,ACABAMENTO PARALAMA TRAS ESQ CORSA SEDAN 96/12 PRETO LISO,DTS,"55,88","0,000",ACB-02,
174PTE,ACABAMENTO PARALAMA TRAS ESQ NOVO CORSA HATCH 02/12,DTS,"103,61","11,000",ACB-03,
