Produto,Descrição,Localização,Código Família,Quant. Estoque,Preço Venda,Unidade
012A16,ABRACADEIRA ROSCA SEM FIM 3/8 A 5/8,E-184,ABRAC,111,"5,50",PC
012A13,ABRACADEIRA ROSCA SEM FIM 5/16 A 1/2,E-184,ABRAC,130,"5,50",PC
012A10,ABRACADEIRA ROSCA SEM FIM 5/16 A 3/8,E-182,ABRAC,39,"4,50",PC
012A27,ABRACADEIRA ROSCA SEM FIM 5/8 A 1 1/6,E-185,ABRAC,377,"6,00",PC
012A9,ABRACADEIRA ROSCA SEM FIM 9MM,E-182,ABRAC,5,"1,47",UN
012A95,ABRACADEIRA ROSCA SEM FIM2 3/4 A3 1/4,,ABRAC,48,"15,00",PC
A22,ABRACADEIRA SEM FIM 1/2 a 7/8,,ABRAC,0,"2,07",PC
ATU48,ABRACADEIRA TIPO U PARA ESCAP. 1.7/8,E-201,ABRAC,0,"10,91",PC
012A76,ABRACADEIRA UNIVERSAL 2 1/2,E-191,ABRAC,2,"13,65",PC
63441,ABRACADEIRA UNIVERSAL 88MM,E-199,ABRAC,73,"6,00",PC
30245,ABRACADEIRA UNIVERSAL HOMOCINETICA FITA 7MM X 90MM,E-193,ABRAC,61,"3,15",PC
63191,ABRAÇADEIRA UNIVERSAL HOMOCINETICA 9MM X 88MM,E-193,ABRAC,46,"6,00",PC
100199008,MOLDURA PARA-LAMA PALIO WEEK LOCKER DIANT L.D,,ABRAC,0,"577,50",PC
081301211,TAMPA SELETORA KOMBI,,ABRAC,0,"172,26",PC
111111111,TEST,,ABRAC,0,"10,50",OPC
7X0121065N,TUBO D`AGUA KOMBI,,ABRAC,0,"192,66",PC
7526192,ADESIVO FIAT,C/TIAO,ACESS,0,"15,47",PC
20022*,ADITIVO SELANTE RADIADOR KOUBE 500ML,,ACESS,2,"25,00",PC
AGUA,AGUA DESMINERALIZADA CAR+/ORBI/MIDE/RADNAQ,,ACESS,146,"6,50",PC
FX292,ALARME POSITRON CYBER FX,,ACESS,0,"364,79",PC
HBA1000,ALARME UNIVERSAL H-BUSTER,VITRINE BALCAO,ACESS,0,"269,23",PC
1852206636,ALAVANCA BANCO PALIO,,ACESS,0,"102,00",PC
90587208,ALAVANCA CAPO ASTRA,I-243,ACESS,0,"84,89",PC
93344407,ALCA SEGURANÇA TETO NOVO VECTRA 06/,I-98,ACESS,0,"40,79",PC
189980080,APOIA BRACO UNO WAY 10/ L.D,,ACESS,0,"54,57",PC
19246072,AROMATIZANTE AC DELCO ACQUA 6ML (REFIL),,ACESS,3,"23,15",PC
3890024,AROMATIZANTE AUTO FRESH GEL MISTO WURTH,,ACESS,4,"12,49",PC
71500,AROMATIZANTE GEL ACDELCO 60G AROMAS,,ACESS,10,"16,93",PC
A6512006000,BOCAL DE ESCOAMENTO DE AGUA,,ACESS,0,"539,21",UN
53449,BOLA ALAVANCA CAMBIO CORSA /98,F-61,ACESS,0,"29,65",PC
53430,BOLA ALAVANCA CAMBIO D20/F1000/RANGER/F4000/F250,F-52,ACESS,0,"26,85",PC
118826,BOLA ALAVANCA CAMBIO DEL REY/PAMPA/VERSAILES,I-112,ACESS,0,"27,79",PC
17639,BOLA ALAVANCA CAMBIO F1000 .../92 (4 MARCHAS),F-52,ACESS,0,"8,65",PC
12625221,BOMBA ALTA NOVA S10 2.8 12/,,ACESS,0,"3150,00",PC
258K10491,BORRACHA PEDAIS FIAT 147 TDS,E-217,ACESS,0,"7,81",PC
258K41320,BORRACHA PEDAIS GOL/VOY/PARATI /83,E-216,ACESS,0,"10,89",PC
7082586,BOTAO AR STRADA,,ACESS,0,"47,30",PC
12497,BOTAO INTERRUPTOR LUZ CORSA/ASTRA/VECTRA/OMEGA,A-219,ACESS,0,"19,32",PC
BP001,BOTAO PISCA ALERTA FIESTA/KA,A-218,ACESS,0,"12,12",PC
46773331,BRACO LIMPADOR PARABRISAS PALIO,,ACESS,0,"108,05",PC
18.289321198R,BRUCUTU DUSTER,GAVETA DO RAFAEL,ACESS,0,"94,50",PC
3295*,BUCHA PEDAL ACELERADOR FUSCA C/MOLA E PINO,F-110,ACESS,0,"4,99",JG
403440,BUCHAS DO TRILHO DO BANCO GOL (JG 3 PECAS),E-131,ACESS,16,"15,00",PC
400766,BUJAO CARTER AMAROK 10/ A3 06/,F-10,ACESS,12,"33,00",PC
46445923,CALOTA CENTRO RODA MAREA,,ACESS,0,"97,02",PC
5L551A096AB,CALOTA CENTRO RODA RANGER,,ACESS,0,"101,43",PC
93237280,CALOTA CUBO RODA MONZA/CORSA/TIGRA,,ACESS,0,"137,03",PC
93206134,CALOTA D20 CENTRO RODA,,ACESS,0,"45,89",PC
30754,CALOTA GRAXA RODA ESCORT/FIESTA/KA,F-58,ACESS,20,"9,00",PC
ZBA601171,CALOTA GRAXA RODA GOL/PAR/SAVEIRO/VOYAGE,F-54,ACESS,16,"18,00",PC
89FB1248/AA,CALOTA GRAXA RODA TRASEIRA ESCORT/LOG/POINTVER,F-59,ACESS,0,"3,19",PC
01183,CALOTA RODA MONZA/CHEVETTE/CORSA,F-56,ACESS,3,"7,00",PC
100189739,CALOTA RODA PALIO/UNO/ECONOMY/,,ACESS,0,"93,71",UN
51849210,CANALETA NOVO PALIO,,ACESS,0,"191,52",PC
46845385,CANALETA PALIO 4P/STRADA DIANT L.ESQ,,ACESS,0,"159,86",PC
377837435,CANALETA PORTA ESQ. GOL 2P 95,,ACESS,0,"145,53",PC
76721SADM01,CAPA LIMPADOR HONDA FIT,,ACESS,0,"37,49",PC
NN1840,CAPA PEDAIS MONZA/CHEVETTE/CORSA -CHAPA ALUMINIO-,E-228,ACESS,0,"25,73",JG
NN1533,CAPA PEDAIS PALIO/TIPO -CHAPA ALUMINIO-,E-222,ACESS,0,"25,73",JG
NN1531,CAPA PEDAIS UNO/PREMIO/ELBA/FIORINO -CHAPA ALUMIN-,E-221,ACESS,0,"25,73",JG
0987,CAPO TRACKER,,ACESS,0,"1521,45",PC
S4059,CARCACA TAMPA DISTRIBUICAO D20 MAXION,,ACESS,0,"848,93",PC
51851709,CARRINHO,,ACESS,0,"244,49",PC
63789,CERA AUTOMOTIVA AC DELCO 200G,,ACESS,4,"26,59",PC
110110,CERA GRAND PRIX/ 3M*,N-24,ACESS,3,"29,40",PC
619,CHAVE RODA CRUZ,N-5,ACESS,0,"41,42",PC
19MM,CHAVE RODA L FUSCA/CHEV/FIAT/19MM,N-5,ACESS,0,"25,04",PC
17MM,CHAVE RODA L PASSAT/GOL/VOY/17MM,N-5,ACESS,0,"14,12",PC
1208,CINTO SEGURANCA,,ACESS,0,"24,22",PC
76721SCVA01,COBERTURA BRAÇO LIMPADOR HONDA CRV,,ACESS,0,"21,83",PC
68087244AA,COBERTURA INFERIOR PARACHOQUE FREEMONT,,ACESS,0,"574,07",PC
377857924,COBERTURA PAINEL GOL BOLA (CINZA),M-14,ACESS,0,"77,69",PC
5U0807217A,COBERTURA PARACHOQUE GOL GV,,ACESS,0,"921,69",PC
521120K906,COBERTURA PARACHOQUE HILUX,,ACESS,0,"417,40",PC
379853447/C,COBERTURA PLASTICA,,ACESS,0,"96,73",PC
93361174,COIFA ALAVANCA S10 ORIGINAL,,ACESS,0,"157,50",PC
23M,COLA ARALDITE ULTRA RAPIDO 23G -GRANDE-,A-3,ACESS,6,"43,00",PC
W715121,CONECTOR MANGUEIRA BLOCO/RADIADOR FIESTA/COURIER,F-49,ACESS,0,"24,80",PC
1J0121087B,CONEXAO LIGACAO DAS MANGUEIRAS BORA/GOLF MAIOR,F-66,ACESS,0,"84,00",PC
213527,CONEXAO MANG VALV TERM TEMPRA/PALIO/UNO,F-48,ACESS,0,"23,91",PC
3471*,CONEXAO T LIMPADOR PARABRISA,F-29,ACESS,5,"5,00",PC
51836477,CORDAO PORTA PACOTE PALIO 2010/,,ACESS,0,"6,99",PC
1240,CORRENTE DE REDUCAO TRACKER,,ACESS,0,"2222,64",PC
46789637,CORRETOR FRENAGEM,,ACESS,0,"970,20",PC
03599,DECALCULO D20 94/,,ACESS,0,"174,57",JG
93365303,DEFLETOR CALOR ESCAPAMENTO CELTA,ANTIGA PRATELEIRA DO ROGERIO,ACESS,0,"158,43",PC
427730,DESCARBONIZADOR CAR+ JET CLEAN BICO+CARBURADOR,,ACESS,0,"16,37",PC
63797,DETERGENTE LIMPA PARABRISAS 100 ML AC DELCO,,ACESS,2,"6,83",PC
DRAFTLP,DETERGENTE LIMPA PARABRISAS DRAFT,BALCAO,ACESS,9,"6,30",PC
5Z08197041NN,DIFUSOR AR FOX,,ACESS,0,"78,83",PC
51807387,DISPOSITIVO PNEU ESTEPE STRADA,,ACESS,0,"716,25",PC
1S551A480AB,DISPOSITIVO PNEU STEP NOVO FORD KA,,ACESS,0,"163,72",PC
97607743,DOBRADICA,,ACESS,0,"214,20",PC
1266,DOBRADICA CAPO L.E,,ACESS,0,"246,96",PC
1265,DOBRADICA CAPO TRACKER,,ACESS,0,"227,56",PC
46816375,DOBRADICA INFERIOR PORTA ESQ PALIO/STRADA,,ACESS,0,"84,89",PC
379853687,"EMBLEMA ""VW"" GOL BOLA",,ACESS,0,"42,84",PC
93234250,EMBLEMA GM `2.0` ASTRA,,ACESS,0,"41,94",PC
93395089,EMBLEMA GM `ASTRA CD`,,ACESS,0,"57,73",PC
5U0853687B,EMBLEMA GOL G5 / *1.6*,,ACESS,0,"27,53",PC
5U6853687C739,EMBLEMA GOL G5 / *GOL*,,ACESS,0,"30,08",PC
4249,EMBLEMA GRADE GOL/VOYAGE/PARATI,,ACESS,0,"13,34",PC
760138,ENGRENAGEM COMANDO VALVULAS SCENIC,,ACESS,0,"283,85",PC
EXTINTOR,EXTINTOR BASICO 1KG,O-4,ACESS,0,"30,56",PC
EXTI03,EXTINTOR UNIVERSAL KIDDE 3 1/2 MEDIO,O-4,ACESS,0,"79,42",PC
EXTI02,EXTINTOR UNIVERSAL KIDDE 3 PEQUENO/BUJAOZINHO,O-4,ACESS,0,"80,52",PC
EXTI01,EXTINTOR UNIVERSAL KIDDE 4 GRANDE,O-4,ACESS,0,"79,42",PC
7087003,FECHO PORTA LUVA PUNTO,,ACESS,0,"49,11",PC
TRA*,FITA PLASTICA P/ EMBALAGEM,,ACESS,17,"6,06",PC
55263297,FLANGE CAMBIO STRADA/PALIO 1.4 ORIGINAL,,ACESS,0,"214,99",PC
5Z0853372,FRISO DA SOLEIRA FOX,,ACESS,0,"60,81",PC
5195,FRISO MOLDURA FAROL SANTANA DIR,,ACESS,0,"40,02",PC
5194,FRISO MOLDURA FAROL SANTANA ESQ,,ACESS,0,"40,02",PC
100205013,GRADE CROMADA DIANTEIRA PUNTO ORIGINAL,,ACESS,0,"388,50",PC
A1688880060,GRADE DIANT MERCEDES CLASSIC,,ACESS,0,"460,85",PC
340933/34,GRADE DIANTEIRA UNO MILLE SMART,I-SUP,ACESS,0,"41,56",PC
5U0853666,GRADE FAROL MILHA GOL GV L.DIR,,ACESS,0,"44,87",PC
5U0853665,GRADE FAROL MILHA GOL GV L.ESQ,,ACESS,0,"44,87",PC
2118191651,GRADE KOMBI,,ACESS,0,"87,10",PC
2118533081NN,GRADE KOMBI 2,,ACESS,0,"60,64",PC
5U0853677,GRADE PARACHOQUE GOL GV,,ACESS,0,"75,19",PC
4411*,GRADE RADIADOR SANTANA 87/,,ACESS,0,"111,57",PC
94704066,GRADE S10 FRONTAL INFERIOR CAPO ORIGINAL,,ACESS,0,"216,30",PC
170006,GRAVAÇAO CHASSI,,ACESS,63,"22,05",PC
20007*,GRAXA BRANCA SPRAY 300ML KOUBE,,ACESS,3,"25,00",PC
95207399,GUIA COBERTURA PARACHOQUE CRUZE,,ACESS,0,"34,18",PC
95207397,GUIA COBERTURA PARACHOQUE CRUZE,,ACESS,0,"34,18",PC
0893012500,HIDRATANTE EMBELEZADOR P/COURO,,ACESS,0,"83,69",PC
210007,JUNTA ELASTICA F1000 4.3 XS,,ACESS,0,"198,58",PC
37551,KIT LIMPEZA AUTOMOTIVA START INDY LAVA AUTO,,ACESS,1,"46,41",KT
52113273,KIT REPARO ALAVANCA AUTOMATICA PRISMA/ONIX/COBALT,,ACESS,0,"178,50",KT
011398000,KIT VIDRO ELETRICO GOL/SAV,,ACESS,0,"528,61",PC
RS1224,LAMINA DE SERRA STARRETT,F-90,ACESS,0,"7,72",PC
51772768,LIMITADOR DOBLO,I-67,ACESS,0,"157,50",PC
5W4837249,LIMITADOR PORTA GOL/PAR G4,I-45,ACESS,0,"87,95",PC
5Z4837249,LIMITADOR SPACEFOX,,ACESS,0,"88,20",PC
63776,LIMPA AUTOS ACDELCO SHAMPOO 300ML,,ACESS,0,"10,87",PC
389011511,LIMPA RADIADOR BIODEGRADAVEL 250ML,BALCAO,ACESS,0,"7,28",PC
3890*,LIQUIDO PARA PARABRISAS WATER OFF WURTH 30ML,,ACESS,0,"16,86",PC
379853685,LOGOTIPO,,ACESS,0,"11,07",PC
377853685/L,LOGOTIPO 16 VAL,,ACESS,0,"13,63",PC
7674004,LUVA MANGUEIRA RESPIRO DO TANQUE STRADA,E-134,ACESS,0,"7,93",PC
M012111,MACACO CORSA WIND/SEDAN,I-SUP,ACESS,0,"48,51",PC
M015211,MACACO PALIO 2/3 VOLUMES,N-4,ACESS,0,"90,69",PC
70358,MACANETA INTERNA DIANT PALIO 04/ PRETA LD,I-101,ACESS,0,"26,73",PC
70359,MACANETA INTERNA DIANT PALIO 04/ PRETA LE,I-101,ACESS,3,"26,73",PC
PL1815,MASSA CALAFETAR (FILETE-CINZA),F-83,ACESS,0,"0,33",PC
PL1817,MASSA CALAFETAR (FILETE-PRETA],F-83,ACESS,0,"0,30",FL
7714096,MOLA LIMITADOR PORTA FIORINO,,ACESS,0,"36,85",PC
100202813,MOLDURA,,ACESS,0,"160,86",PC
100185997,MOLDURA,,ACESS,0,"93,38",PC
100175609,MOLDURA,,ACESS,0,"146,64",PC
100213064,MOLDURA CACAMBA DIREITA STRADA,,ACESS,0,"57,75",PC
100213068,MOLDURA CACAMBA STRADA 13/16 L.E ORIGINAL,,ACESS,0,"90,00",PC
